id,sentence,numbers,adj,nouns
0,"Eleven midwives who had administered SWI for back pain in labour in a randomised controlled trial.",11,,midwives
1,"136 nursing students (intervention group: n=63, control group: n=73) were included in the study.",136,nursing,students
2,"The study comprised smokers (n=484), 59.5% of whom were men with a mean age of 50.67years and a smoking history of 37.5 pack-years.",484,,smokers
3,"Fifteen of twenty one original participants with post-stroke anxiety participated in a one year follow-up study.",15,anxious,participants
4,"In total, 68 patients scheduled for elective renal surgery (open nephrectomy or open nephron-sparing surgery).",68,,patients
5,"Fifty-five consultant anaesthesiologists.",55,consultant,anaesthesiologists
6,"Sixty-three subjects were randomised to either the usual care group (control, n=31) or the functional exercise+usual care group (n=32).",63,,subjects
7,"Medically well patients (n=93) with recent (<42 days) stroke. The mean age of patients was 68.8 years, mean time post ictus was 33.5 days, 54 (58%) were male, 20 showed neglect (22%) and 37 (40%) had a left-sided brain lesion.",93,medically well,patients
8,"33 patients with cancer, median age 49 years: 25 patients with breast cancer and 8 with colon cancer, 72% with a low cardiac respiratory fitness level and the majority with a high level of education. Patients received adjuvant chemotherapy, oncologist's PA recommendation and exercise, cancer nurse specialist's counselling prior to allocation to PA interventions or waitlist control group.",33,,patients
9,"98 participants have provided written consent to permit the request of routinely recorded data. Study procedures: routinely recorded clinical and non-clinical data were identified and data requested through formal applications from available data holders for the duration that participants have been recruited into SANAD II. The feasibility of accessing routinely recorded data during a RCT is assessed and recommendations for improving access proposed.",98,,participants
10,"Cohort of grade 7 students followed-up in grade 10 (2014; aged 15-16years).",-1,,students
11,"Inclusion criteria: 1) Adults (40 years) with ischemic stroke or TIA ( 90 days prior); 2) English- or Spanish-speaking.",-1,stroke,adults
12,"825 physicians initially certified by the American Board of Internal Medicine (ABIM) who passed the Internal Medicine Certification examination or sat for the Internal Medicine Maintenance of Certification (IM-MOC) examination in 2012 to 2015.",825,,physicians
13,"11 members of staff from four trial sites: clinical grant Co-applicant (n=1); Principal Investigators (n=3); Consultant Urologist (n=1); Research Nurses (n=5); Research Assistant (n=1).",11,,staff
